delete from product;

delete from category;

INSERT INTO category (categoryID, categoryName, description) VALUES
('e6dc7c31-c0c4-422f-9018-f4ad73228626', 'men''s clothes T-shirt', 'T-shirt for men'),
('80f068cd-da77-43e4-8384-dc6825a56000', 'men''s clothes Jersey', 'Jersey for men'),
('f12e9b94-3a00-46c7-bad3-70b2c4ba1f82', 'men''s clothes Hoodie', 'Hoodie for men'),
('ccb4b22b-eb38-4d69-9889-4e5501792fd6', 'men''s clothes Shorts', 'Shorts for men'),
('dc86d26f-9e4e-4d53-9a83-ca4de464f285', 'men''s clothes Trousers', 'Trousers for men'),
('014816fc-4c84-40b5-8a36-9d5d0c078235', 'wm''s clothes T-shirt', 'T-shirt for women'),
('dfb1a6d6-a5be-46c8-b088-0e77b2bff594', 'wm''s clothes Jersey', 'Jersey for women'),
('2687f23f-b4eb-4302-9097-9ce924cc1211', 'wm''s clothes Hoodie', 'Hoodie for women'),
('0b1d49b8-4f22-4c3d-a9f3-1781326afaed', 'wm''s clothes Shorts', 'Shorts for women'),
('61c5c4d4-e28f-4ed9-8141-07e19be82ac4', 'wm''s clothes Trousers', 'Trousers for women'),
('a6530b97-47b9-40b2-95b7-7583f33be315', 'kid''s clothes T-shirt', 'T-shirt for kids'),
('867abc16-c1e9-49c5-8ae3-2df722b390ee', 'kid''s clothes Jersey', 'Jersey for kids'),
('037ce04f-b291-45bf-8479-3bedaf276888', 'kid''s clothes Hoodie', 'Hoodie for kids'),
('9c6671d2-b748-40ff-a412-db44951df581', 'kid''s clothes Shorts', 'Shorts for kids'),
('4dd9854e-1a88-43e8-a2cc-0a201e8d3f27', 'kid''s clothes Trousers', 'Trousers for kids'),
('eefb4ee1-19e4-41af-bf54-41c68ff4a27e', 'men''s Shoes', 'Shoes for men'),
('e74124a9-e82d-44ff-b8e2-1ed78ccee264', 'wm''s Shoes', 'Shoes for women'),
('aea61a5a-4f39-4e46-85f9-aee374eb3716', 'kid''s Shoes', 'Shoes for kids'),
('32974795-e5a8-4df7-b900-a6a320309909', 'Ball', 'Basketball'),
('ba1e6e65-2faa-4541-aca0-976bd8d20918', 'Band''s accessories', 'Wristband'),
('d4954e1a-eeb1-4b4b-ac77-0f9f5e347689', 'Water-bottle''s accessories', 'Water bottle'),
('23919e53-14fd-47d3-bb2c-70e1a4336811', 'Backpack''s accessories', 'Backpack'),
('cb24f094-44df-41a5-8b83-aed2cde9c7a5', 'Tool''s accessories', 'Sports tool');





INSERT INTO product (productID, categoryID, productName, description, brand, price, stock, dateAdded, size) VALUES
('639b4750-c2a1-4a24-a9bd-be0939f1d2e7', 'ba1e6e65-2faa-4541-aca0-976bd8d20918', 'Reebok Training Band', 'Wristband 5', 'Reebok', 7.99, 50, '2024-05-29', 'L'),

('7a858a17-040b-4bd7-b254-047f2a828bf0', 'd4954e1a-eeb1-4b4b-ac77-0f9f5e347689', 'Nike Hyperfuel Water Bottle', 'Water bottle 1', 'Nike', 9.99, 100, '2024-03-24', 'M'),
('1793b69e-28e1-43e7-ae5d-b684bd235dbb', 'd4954e1a-eeb1-4b4b-ac77-0f9f5e347689', 'Adidas Steel Water Bottle', 'Water bottle 2', 'Adidas', 10.99, 80, '2024-04-25', 'L'),
('45820650-e436-46bc-9f76-d1b9a949ebe3', 'd4954e1a-eeb1-4b4b-ac77-0f9f5e347689', 'Puma Fitness Water Bottle', 'Water bottle 3', 'Puma', 11.99, 60, '2024-01-17', 'S'),
('a5ea9a76-5a00-48c3-82bf-a903b97718d4', 'd4954e1a-eeb1-4b4b-ac77-0f9f5e347689', 'Under Armour Hydration Bottle', 'Water bottle 4', 'Under Armour', 8.99, 90, '2024-02-10', 'M'),
('1d7447d2-b67b-4b06-a1f3-5f1022d15bf9', 'd4954e1a-eeb1-4b4b-ac77-0f9f5e347689', 'Reebok BPA-Free Bottle', 'Water bottle 5', 'Reebok', 12.99, 50, '2024-07-01', 'L'),

('ab367332-60a6-4303-969a-68a9531ba514', '23919e53-14fd-47d3-bb2c-70e1a4336811', 'Nike Brasilia Backpack', 'Backpack 1', 'Nike', 24.99, 100, '2024-02-21', 'M'),
('7251a16e-16f4-4316-bf7e-b676f3532ea9', '23919e53-14fd-47d3-bb2c-70e1a4336811', 'Adidas Classic Backpack', 'Backpack 2', 'Adidas', 25.99, 80, '2024-05-24', 'L'),
('45b3b6e3-1ee9-4857-81fa-49c8eaa29fd8', '23919e53-14fd-47d3-bb2c-70e1a4336811', 'Puma Contender Backpack', 'Backpack 3', 'Puma', 26.99, 60, '2024-06-30', 'S'),
('f65a0131-977b-4a54-b682-eb7f0180e8d8', '23919e53-14fd-47d3-bb2c-70e1a4336811', 'Under Armour Hustle Backpack', 'Backpack 4', 'Under Armour', 23.99, 90, '2024-07-09', 'M'),
('b6302fd4-80a8-4658-a7fe-048852bd8f50', '23919e53-14fd-47d3-bb2c-70e1a4336811', 'Reebok Active Core Backpack', 'Backpack 5', 'Reebok', 27.99, 50, '2024-04-18', 'L'),

('56f43dd7-4166-43c0-a606-d1c1940f0815', 'cb24f094-44df-41a5-8b83-aed2cde9c7a5', 'Nike Gym Tool', 'Sports tool 1', 'Nike', 14.99, 100, '2024-03-10', 'M'),
('3cd0624c-e72e-4cf9-87b4-825894ae696c', 'cb24f094-44df-41a5-8b83-aed2cde9c7a5', 'Adidas Training Tool', 'Sports tool 2', 'Adidas', 15.99, 80, '2024-02-14', 'L'),
('4ef580db-9947-4f5a-934b-764f951d8a6b', 'cb24f094-44df-41a5-8b83-aed2cde9c7a5', 'Puma Fitness Tool', 'Sports tool 3', 'Puma', 16.99, 60, '2024-07-10', 'S'),
('755b8d58-5b1d-4766-aaef-254b406abe60', 'cb24f094-44df-41a5-8b83-aed2cde9c7a5', 'Under Armour Workout Tool', 'Sports tool 4', 'Under Armour', 13.99, 90, '2024-06-14', 'M'),
('f355d295-0441-431d-a755-d8cb68aa596c', 'cb24f094-44df-41a5-8b83-aed2cde9c7a5', 'Reebok Crossfit Tool', 'Sports tool 5', 'Reebok', 17.99, 50, '2024-04-27', 'L');
